代码,名称,总市值,最后封板时间,连板数,所属行业
000756,新华制药,17919224728.32,141824,11,化学制药
002431,棕榈股份,6319688188.0,134448,5,工程建设
000926,福星股份,6170596120.0,100530,5,房地产开
002686,亿利达,3980661126.08,130000,4,通用设备
002883,中设股份,1925211052.56,105718,4,工程咨询
600200,江苏吴中,6233402280.0,135635,4,化学制药
002715,登云股份,1863000000.0,093000,3,汽车零部
000838,财信发展,9309910008.960001,132448,3,房地产开
002766,索菱股份,4706774818.56,092500,3,互联网服
603390,通达电气,3200351627.2,092504,2,汽车零部
002613,北玻股份,6550818300.0,135430,2,玻璃玻纤
000037,深南电A,4104813251.52,133136,2,电力行业
000680,山推股份,7869710851.84,095642,2,工程机械
002399,海普瑞,24782632953.12,133815,2,化学制药
603178,圣龙股份,2591074215.76,094856,2,汽车零部
301013,利和兴,4469167230.72,143006,2,专用设备
600698,湖南天雁,5002727150.400001,140240,2,汽车零部
000632,三木集团,2597599189.44,145418,2,综合行业
001319,铭科精技,3334211999.9999995,092500,2,汽车零部
002111,威海广泰,5714430493.28,092500,2,专用设备
000548,湖南投资,2885467370.2400002,092500,2,铁路公路
000990,诚志股份,15587468284.8,103957,2,化学原料
600720,祁连山,10052959229.6,092504,2,水泥建材
600689,上海三毛,2128498322.37,104604,2,纺织服装
000042,中洲控股,6209522810.24,103342,2,房地产开
002183,怡 亚 通,19867119523.2,102642,2,物流行业
603097,江苏华辰股份,2161600000.0,092501,2,电网设备
002811,郑中设计,2592430848.0,093003,2,装修装饰
