代码,名称,流通市值,最后封板时间,连板数,所属行业
001318,阳光乳业,2063026000.0,094145,9,食品饮料
000595,宝塔实业,8171155675.88,092500,7,通用设备
000025,特  力Ａ,8515433977.599999,094833,6,汽车服务
002181,粤 传 媒,6942727371.24,093003,5,文化传媒
000151,中成股份,5189611037.49,145636,4,贸易行业
002066,瑞泰科技,3552780000.0,093112,4,装修建材
600268,国电南自,7015225706.559999,145030,3,电网设备
000523,广州浪奇,6292167674.940001,093957,3,美容护理
688150,莱特光电,862513594.8199999,094644,3,光学光电
603069,海汽集团,5052840000.0,092505,3,铁路公路
002957,科瑞技术,2637626659.42,134209,2,专用设备
600960,渤海汽车,4524453865.679999,093503,2,汽车零部
600354,敦煌种业,4259362785.6000004,144222,2,农牧饲渔
600006,东风汽车,14960000000.0,092505,2,汽车整车
000909,数源科技,4873792209.12,093927,2,综合行业
000716,黑芝麻,2665398920.13,093009,2,食品饮料
002229,鸿博股份,3363328588.5,092500,2,造纸印刷
