代码,名称,流通市值,最后封板时间,连板数,所属行业
002591,恒大高新,1787609760.75,093424,5,综合行业
002796,世嘉科技,2744935670.72,092500,4,专用设备
603917,合力科技,6086976000.0,145633,4,汽车零部
000631,顺发恒业,12186921031.68,111424,3,房地产开
002882,金龙羽,5488380375.0,095106,3,电网设备
301120,新特电气,1678796524.09,092503,3,电网设备
600992,贵绳股份,4117512000.0,100300,3,通用设备
002134,天津普林,3213256467.76,144818,3,电子元件
603586,金麒麟,2980002256.0,094412,2,汽车零部
603067,振华股份,8314925385.639999,141950,2,化学原料
002965,祥鑫科技,4060497845.43,135115,2,通用设备
002843,泰嘉股份,4727024028.75,093515,2,通用设备
000544,中原环保,6998234623.84,094233,2,公用事业
000692,惠天热电,2514945096.72,103136,2,公用事业
