代码,名称,流通市值,最后封板时间,连板数,所属行业
000755,山西路桥,4404517109.62,092500,6,铁路公路
002514,宝馨科技,7207985774.64,094457,5,通用设备
002333,罗普斯金,3693549024.0000005,145624,5,装修建材
600192,长城电工,3366119760.0,144618,4,电网设备
000404,长虹华意,5726160533.56,104200,4,家电行业
000722,湖南发展,9557019026.38,093203,4,电力行业
000601,韶能股份,7926185472.54,093027,3,电力行业
002591,恒大高新,1477757402.22,100312,3,综合行业
002337,赛象科技,3126727595.32,094633,3,专用设备
002374,中锐股份,5012471947.1,093057,2,工程建设
002383,合众思壮,4639435554.6,132830,2,计算机设
002796,世嘉科技,2267353957.74,112754,2,专用设备
600033,福建高速,9138852000.0,095814,2,铁路公路
002479,富春环保,5073094407.389999,130254,2,环保行业
603917,合力科技,5030144000.0,145243,2,汽车零部
000619,海螺新材,2570400000.0,100900,2,装修建材
601518,吉林高速,4294256484.78,093010,2,铁路公路
002161,远 望 谷,4559837491.2,132003,2,电子元件
000548,湖南投资,2775489789.16,092500,2,铁路公路
603985,恒润股份,11860776928.0,111426,2,通用设备
002552,宝鼎科技,3999938555.3399997,093312,2,通用设备
600561,江西长运,1514838960.0,094233,2,铁路公路
000922,佳电股份,5720219339.339999,111351,1,电机
002623,亚玛顿,9073698190.0,130000,1,光伏设备
002990,盛视科技,1971255060.0,111306,1,互联网服
000885,城发环境,6716138547.3,145457,1,铁路公路
002323,雅博股份,9351365054.220001,105921,1,装修建材
603050,科林电气,2543454368.0,110456,1,电网设备
600131,国网信通,9453751685.0,143345,1,互联网服
600458,时代新材,8453464540.559999,131824,1,风电设备
601890,亚星锚链,7569666000.0,141325,1,船舶制造
600367,红星发展,6796608000.0,132537,1,化学原料
002047,宝鹰股份,5742995285.7,104718,1,装修装饰
603507,XD振江股,4554777716.0,104733,1,风电设备
600169,太原重工,7538027700.0,112836,1,专用设备
002164,宁波东力,3048907382.12,111512,1,通用设备
002011,盾安环境,11772851666.949999,135300,1,家电行业
301082,久盛电气,786999522.88,145539,1,电网设备
002547,春兴精工,5123639327.88,142633,1,消费电子
002418,康盛股份,4168862182.5,142633,1,家电行业
000767,晋控电力,13221580822.88,141900,1,电力行业
301046,能辉科技,1467893600.0,141018,1,光伏设备
002339,积成电子,3582317257.2000003,142342,1,电网设备
002805,丰元股份,7534514710.8,134727,1,化学原料
002641,公元股份,5691689652.99,141333,1,装修建材
600699,均胜电子,22436587833.6,131524,1,汽车零部
600035,楚天高速,6054035787.759999,142831,1,铁路公路
603139,康惠制药,2401115200.0,142830,1,中药
002398,垒知集团,3995900134.6600003,141145,1,装修建材
002284,亚太股份,6623786650.0,103654,1,汽车零部
002585,双星新材,16477548293.18,145454,1,塑料制品
002952,亚世光电,1848124774.3999999,104642,1,光学光电
002621,美吉姆,3628768356.85,100357,1,教育
605598,上海港湾,831474239.75,103539,1,工程建设
003038,鑫铂股份,2320596704.96,103312,1,有色金属
000631,顺发恒业,10070629355.519999,094433,1,房地产开
601218,吉鑫科技,5500755139.799999,095947,1,风电设备
603997,继峰股份,9794696604.8,145503,1,汽车零部
002882,金龙羽,4535566500.0,095615,1,电网设备
002112,三变科技,1884651425.64,141803,1,电网设备
301120,新特电气,1166078736.02,093642,1,电网设备
603030,全筑股份,1966436662.68,143254,1,装修装饰
001212,中旗新材,1172356380.0,093536,1,装修装饰
002616,长青集团,2698989655.1800003,093448,1,电力行业
002531,天顺风能,32266583037.12,093415,1,风电设备
002766,索菱股份,4349762498.2,093254,1,互联网服
002125,湘潭电化,10826809397.5,142603,1,化学原料
603676,卫信康,4537306680.0,092503,1,化学制药
600992,贵绳股份,3401849200.0,092503,1,通用设备
002057,中钢天源,8431921868.8,092500,1,小金属
002016,世荣兆业,4608734190.72,094218,1,房地产开
002134,天津普林,2655177494.4,133436,1,电子元件
002523,天桥起重,4609171983.9,094339,1,专用设备
603628,清源股份,3734632000.0,095947,1,光伏设备
001226,拓山重工,756934685.0,144654,1,通用设备
600736,苏州高新,6366649775.71,102039,1,房地产开
603679,华体科技,1613918873.4,101803,1,光学光电
000753,漳州发展,4253453794.59,101145,1,汽车服务
000055,方大集团,3420937563.95,100903,1,装修装饰
002879,长缆科技,2425560980.56,144127,1,电网设备
002516,旷达科技,5355733769.18,095742,1,汽车零部
002066,瑞泰科技,3021480000.0,094354,1,装修建材
002308,威创股份,3908789839.1600003,095157,1,计算机设
603656,泰禾智能,2226453432.0,094926,1,专用设备
002989,中天精装,1603140000.0,094836,1,装修装饰
002620,瑞和股份,1907333001.21,094830,1,装修装饰
002660,茂硕电源,2312582570.0099998,094721,1,消费电子
002115,三维通信,3052585228.0000005,104200,1,通信服务
000595,宝塔实业,6236480933.68,145145,1,通用设备
