代码,名称,流通市值,最后封板时间,连板数,所属行业
001270,铖昌科技,1700690940.0,092500,8,半导体
600121,郑州煤电,9138090285.0,150000,5,煤炭行业
002909,集泰股份,3174831265.3199997,092500,4,化学制品
002708,光洋股份,3229182596.4,145527,4,汽车零部
000502,绿景退,126510090.32999998,143733,3,房地产服
002703,浙江世宝,3849286825.92,143712,3,汽车零部
000622,恒立实业,2049589320.0000002,093139,2,汽车零部
002666,德联集团,2651135097.98,092500,2,化学制品
002094,青岛金王,2851573157.37,103142,2,美容护理
601236,红塔证券,25634190699.3,110416,2,证券
601519,大智慧,14808566784.0,095826,2,软件开发
002278,神开股份,2120095745.32,100948,2,专用设备
605068,明新旭腾,1640195000.0,145642,2,汽车零部
002939,长城证券,33082301041.66,092500,2,证券
603668,天马科技,7373596193.5,092505,2,农牧饲渔
601788,光大证券,77860507861.27,095600,2,证券
000987,越秀金控,34892929397.58,110809,1,多元金融
000627,天茂集团,15023137024.5,101024,1,保险
601528,瑞丰银行,1421812334.64,101454,1,银行
601628,中国人寿,600758840500.0,112452,1,保险
601968,宝钢包装,6652723397.25,103128,1,包装材料
002144,宏达高科,1330731178.6000001,144054,1,纺织服装
002791,坚朗五金,15149818215.27,103551,1,装修建材
000532,华金资本,4359646276.74,104109,1,综合行业
603316,诚邦股份,1736214480.0,133753,1,工程建设
600173,卧龙地产,4076422540.0800004,111743,1,房地产开
600890,退市中房,208510173.0,135243,1,房地产服
600707,彩虹股份,11805321124.529999,112052,1,光学光电
300803,指南针,13834119736.4,112630,1,软件开发
000996,中国中期,2452950000.0,130003,1,汽车服务
600684,珠江股份,3260219961.8599997,103512,1,房地产开
601636,旗滨集团,32208837272.37,132939,1,玻璃玻纤
603383,顶点软件,4512478839.12,132441,1,软件开发
000938,紫光股份,55628553549.299995,145439,1,互联网服
000910,大亚圣象,5400133620.0,150000,1,装修建材
000498,山东路桥,7774772417.400001,145621,1,工程建设
600171,上海贝岭,13662352381.109999,105837,1,半导体
003026,中晶科技,2733837923.5,093754,1,半导体
600375,汉马科技,5268420859.56,092504,1,工程机械
000017,深中华A,1105880679.2,093000,1,交运设备
000673,当代退,244748210.98,093021,1,文化传媒
603608,天创时尚,2069110563.1899998,100643,1,纺织服装
603600,永艺股份,2795216793.6,093339,1,装修建材
300169,天晟新材,1680070039.1999998,093321,1,化学制品
603633,徕木股份,3841847496.0,145648,1,消费电子
000025,特  力Ａ,11602671572.8,095957,1,汽车服务
600230,沧州大化,7454729386.200001,093424,1,化学制品
603963,大理药业,3247166000.0,093628,1,中药
600661,昂立教育,2985838808.6,093804,1,教育
600657,信达地产,16341264349.35,100357,1,房地产开
003021,兆威机电,2703801920.0,094206,1,电机
603918,金桥信息,3459785414.02,143526,1,互联网服
002988,豪美新材,1322243936.3,145551,1,有色金属
000700,模塑科技,4943176987.98,094257,1,汽车零部
600652,退市游久,990917162.62,094352,1,游戏
603068,博通集成,5173114580.74,094353,1,半导体
003039,顺控发展,2779949983.7000003,111600,1,公用事业
002806,华锋股份,1855456557.3999999,095500,1,有色金属
002769,普路通,2049279395.9399998,095730,1,物流行业
300010,豆神教育,3167023879.2499995,145651,1,教育
600283,钱江水利,6710449359.580001,145557,1,公用事业
