代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
600661,昂立教育,1.1343804597854614,3321100939.7,092502,教育
000070,特发信息,4.192546844482422,5587401922.63,093003,通信设备
600807,济南高新,3.7533509731292725,3045761455.6800003,093249,贵金属
002636,金安国纪,3.95348858833313,6464578564.679999,093506,电子元件
603040,新坐标,6.03878116607666,2564551546.26,093644,汽车零部
600185,格力地产,6.637167930603027,13628591897.85,093657,房地产开
001208,华菱线缆,7.164178848266602,1438936620.0,095418,电网设备
605333,沪光股份,9.098939895629883,1545479000.0,095506,汽车零部
001212,中旗新材,6.259659767150879,1620905000.0,100333,装修装饰
002155,湖南黄金,7.149576187133789,13689005346.880001,110436,贵金属
003021,兆威机电,6.460859775543213,2909932160.0,111745,电机
002959,小熊电器,6.8711442947387695,4753908447.75,112306,家电行业
601020,华钰矿业,8.321377754211426,8490970543.0,131645,有色金属
603612,索通发展,8.433734893798828,13577528443.5,134551,非金属材
002965,祥鑫科技,7.577808380126953,2448958004.4,140318,通用设备
603936,博敏电子,6.831683158874512,5513820526.629999,141803,电子元件
605376,博迁新材,7.625354766845703,9956673360.0,142550,小金属
002473,圣莱退,8.75,139200000.0,143603,家电行业
603667,五洲新春,8.665749549865723,4803774503.8,144544,通用设备
