代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
002813,路畅科技,-6.255355358123779,3873248558.52,092500,汽车零部
002523,天桥起重,-7.250755310058594,4287926663.81,093003,专用设备
002628,成都路桥,5.585106372833252,2975120306.57,093003,工程建设
002547,春兴精工,0.22123894095420837,4980705183.54,093151,消费电子
002272,川润股份,-0.9009009003639221,2192672215.7999997,093700,工程机械
603421,鼎信通讯,5.4666666984558105,5158826942.01,093959,通信服务
002967,广电计量,5.652826309204102,4976606785.92,094003,专业服务
002840,华统股份,8.894230842590332,10474065909.9,094451,食品饮料
002606,大连电瓷,-3.0869972705841064,4229501473.68,094912,电网设备
002077,大港股份,3.5479631423950195,4468492861.36,095615,半导体
603388,元成股份,5.141388416290283,2332462050.7999997,100058,工程建设
600995,文山电力,4.588796138763428,8398138320.0,100454,电力行业
000543,皖能电力,5.106382846832275,8844556131.320002,102509,电力行业
002370,亚太药业,6.463878631591797,2778419565.6,103809,化学制药
000921,海信家电,6.9855732917785645,12720906994.28,105645,家电行业
002501,利源精制,5.660377502441406,9716651716.8,111012,有色金属
002869,金溢科技,5.048076629638672,2736893050.92,131154,电子元件
000756,新华制药,8.570359230041504,12658012207.2,132200,化学制药
600520,文一科技,9.175257682800293,1677773700.0,134330,专用设备
