代码,名称,总市值,最后封板时间,连板数,所属行业
000756,新华制药,17919224728.32,141824,11,化学制药
002431,棕榈股份,6319688188.0,134448,5,工程建设
000926,福星股份,6170596120.0,100530,5,房地产开
002686,亿利达,3980661126.08,130000,4,通用设备
002883,中设股份,1925211052.56,105718,4,工程咨询
600200,江苏吴中,6233402280.0,135635,4,化学制药
002715,登云股份,1863000000.0,093000,3,汽车零部
000838,财信发展,9309910008.960001,132448,3,房地产开
002766,索菱股份,4706774818.56,092500,3,互联网服
603390,通达电气,3200351627.2,092504,2,汽车零部
002613,北玻股份,6550818300.0,135430,2,玻璃玻纤
000037,深南电A,4104813251.52,133136,2,电力行业
000680,山推股份,7869710851.84,095642,2,工程机械
002399,海普瑞,24782632953.12,133815,2,化学制药
603178,圣龙股份,2591074215.76,094856,2,汽车零部
301013,利和兴,4469167230.72,143006,2,专用设备
600698,湖南天雁,5002727150.400001,140240,2,汽车零部
000632,三木集团,2597599189.44,145551,2,综合行业
001319,铭科精技,3334211999.9999995,092500,2,汽车零部
002111,威海广泰,5714430493.28,092500,2,专用设备
000548,湖南投资,2885467370.2400002,092500,2,铁路公路
000990,诚志股份,15587468284.8,103957,2,化学原料
600720,祁连山,10052959229.6,092504,2,水泥建材
600689,上海三毛,2128498322.37,104604,2,纺织服装
000042,中洲控股,6209522810.24,103342,2,房地产开
002183,怡 亚 通,19867119523.2,102642,2,物流行业
603097,江苏华辰股份,2161600000.0,092501,2,电网设备
002811,郑中设计,2592430848.0,093003,2,装修装饰
002015,协鑫能科,29025043991.039997,141012,1,电力行业
002377,国创高新,2785628608.0,131945,1,房地产服
002771,真视通,2238182947.0,130000,1,互联网服
603716,塞力医疗,3181894771.36,130002,1,医药商业
000006,深振业Ａ,6047977779.200001,131815,1,房地产开
000514,渝 开 发,5037312631.2,133839,1,房地产开
601975,招商南油,13199572131.84,132459,1,航运港口
600812,华北制药,12679247419.519999,131238,1,化学制药
000011,深物业A,7276904664.4800005,131142,1,房地产开
000014,沙河股份,2390206465.95,131003,1,房地产开
605388,均瑶大健康,7232600000.0,130358,1,食品饮料
300917,特发服务,5028400000.0,112918,1,房地产服
000029,深深房Ａ,9964851000.0,130742,1,房地产开
688159,有方科技,2005947350.6,135313,1,通信设备
000090,天健集团,14499912614.4,142933,1,工程建设
002510,天汽模,3521666459.52,135709,1,汽车零部
603858,步长制药,23847618901.12,132734,1,中药
603208,江山欧派,5733418223.16,142407,1,装修建材
601633,长城汽车,273098489856.0,144553,1,汽车整车
001914,招商积余,19467953735.04,143936,1,房地产服
600313,农发种业,11189934103.039999,143934,1,农牧饲渔
603166,福达股份,4310211735.5199995,143200,1,汽车零部
000657,中钨高新,12156138668.800001,142657,1,小金属
000797,中国武夷,5968866051.2,145400,1,房地产开
000922,佳电股份,4960564957.44,142448,1,电机
002016,世荣兆业,5153939175.84,150000,1,房地产开
601279,英利汽车工业股,8487357903.36,134355,1,汽车零部
002132,恒星科技,7386140590.079999,145124,1,通用设备
603506,南都物业,2865488907.54,140209,1,房地产服
605068,明新旭腾,3391976000.0,135624,1,汽车零部
001205,盛航股份,3404853193.35,111018,1,航运港口
000025,特  力Ａ,5448577164.8,134942,1,汽车服务
605128,上海沿浦金属,2206400000.0,134920,1,汽车零部
002141,贤丰控股,5015181783.04,134557,1,电子元件
000036,华联控股,6425434358.56,112221,1,房地产开
000068,华控赛格,3473016578.4,111945,1,环保行业
000023,深天地Ａ,1585983823.2,111018,1,水泥建材
600325,华发股份,16725572848.0,112856,1,房地产开
000957,中通客车,2828151774.72,093736,1,汽车整车
600686,金龙汽车,3893567512.3199997,093745,1,汽车整车
600727,鲁北化工,4360810872.0,094639,1,化学原料
601599,浙文影业,4154741963.84,095221,1,文化传媒
301010,晶雪节能,3648240000.0,104930,1,装修建材
603922,金鸿顺,2598400000.0,100531,1,汽车零部
605319,无锡振华,2762000000.0,093419,1,汽车零部
300907,康平科技,2143679999.9999998,105518,1,电机
603963,大理药业,3240575000.0,093847,1,中药
002084,海鸥住工,2899246525.9199996,093303,1,装修装饰
002496,辉丰股份,4688603904.8,093236,1,农药兽药
600565,迪马股份,6243301405.6,093220,1,房地产开
000953,河化股份,2551871678.24,093200,1,化学制药
600281,华阳新材,2479417794.2400002,093051,1,小金属
002292,奥飞娱乐,6121816741.44,093006,1,文化传媒
600479,千金药业,4457099834.4,093001,1,中药
002243,力合科创,10193287566.08,093000,1,美容护理
601952,苏垦农发,21634600000.0,144848,1,农牧饲渔
002598,山东章鼓,2639520000.0000005,094300,1,通用设备
600319,亚星化学,1928279340.0,094430,1,化学原料
600037,歌华有线,13486327734.72,104510,1,文化传媒
600898,国美通讯,2277340316.1600003,104430,1,消费电子
000560,我爱我家,6760287433.76,111233,1,房地产服
000619,海螺新材,2260800000.0,103818,1,装修建材
000517,荣安地产,11876030850.4,105212,1,房地产开
000010,美丽生态,2853094425.6,103139,1,工程建设
002285,世联行,6893833054.08,102954,1,房地产服
002779,中坚科技,3216840000.0,101909,1,专用设备
600149,廊坊发展,1973030400.0000002,101120,1,贸易行业
600213,亚星客车,1947660000.0,095051,1,汽车整车
600084,中葡股份,6585039235.52,104315,1,酿酒行业
601127,小康股份,58803802140.8,112719,1,汽车整车
603611,诺力股份,4133347834.98,100508,1,工程机械
002418,康盛股份,3397836000.0000005,104642,1,家电行业
600400,红豆股份,8452090211.5199995,105512,1,纺织服装
301072,中捷精工,3679019096.0000005,095627,1,汽车零部
000550,江铃汽车,12240374520.0,095400,1,汽车整车
000625,长安汽车,100439138007.04001,145106,1,汽车整车
