代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
003039,顺控发展,1.9952495098114014,2630477133.1,092500,公用事业
600838,上海九百,-4.137235164642334,3808378819.5,092506,商业百货
603183,建研院,1.5625,2873218662.6,092506,专业服务
002737,葵花药业,3.973870277404785,11154400000.0,093157,中药
001288,运机集团,3.375796318054199,649198377.0,093636,工程机械
000798,中水渔业,6.151832580566406,2590475925.0,094227,农牧饲渔
600628,新世界,0.45766589045524597,5679565871.5199995,094950,商业百货
000868,安凯客车,8.0,2771984255.04,095506,汽车整车
600624,复旦复华,0.2724795639514923,5039480393.6,095843,综合行业
002609,捷顺科技,7.832168102264404,3464167309.11,100251,互联网服
002905,金逸影视,9.350237846374512,2411136000.0,112048,文化传媒
000918,嘉凯城,7.423580646514893,4438311090.0,131542,房地产开
603998,方盛制药,5.190839767456055,2958770770.7999997,133203,中药
601258,庞大集团,7.8125,14113570596.599998,134809,汽车服务
000722,湖南发展,7.899628639221191,10777755308.039999,144506,电力行业
