代码,名称,流通市值,最后封板时间,连板数,所属行业
000926,福星股份,6691948556.150001,092500,6,房地产开
002431,棕榈股份,6824992674.24,095248,6,工程建设
002883,中设股份,1533555591.1200001,130939,5,工程咨询
002715,登云股份,2049300000.0,092500,4,汽车零部
002766,索菱股份,4436468727.4,092500,4,互联网服
000548,湖南投资,3174840837.96,092500,3,铁路公路
000042,中洲控股,6818969476.28,094018,3,房地产开
000632,三木集团,2858057060.8399997,143427,3,综合行业
001319,铭科精技,916979000.0,092500,3,汽车零部
603097,江苏华辰,594400000.0,092505,3,电网设备
600720,祁连山,11060318289.75,092502,3,水泥建材
600698,湖南天雁,3813263933.93,135848,3,汽车零部
002141,贤丰控股,5514430682.34,132927,2,电子元件
000517,荣安地产,10237627495.599998,104421,2,房地产开
002496,辉丰股份,3487659717.06,094657,2,农药兽药
002292,奥飞娱乐,4437599712.0,132521,2,文化传媒
601599,浙文影业,3517336358.16,141750,2,文化传媒
600084,中葡股份,7248038053.5,145354,2,酿酒行业
000953,河化股份,2453797943.35,095424,2,化学制药
600313,农发种业,11590545106.59,094157,2,农牧饲渔
000010,美丽生态,1999916837.3400002,100327,2,工程建设
002243,力合科创,6183407318.2,093015,2,美容护理
002016,世荣兆业,4814787880.32,130009,2,房地产开
600479,千金药业,4775166204.97,093139,2,中药
000957,中通客车,3112745664.0,105236,2,汽车整车
603963,大理药业,3565731000.0,093012,2,中药
601975,招商南油,14509823705.52,104337,2,航运港口
600812,华北制药,13258442446.77,092505,2,化学制药
600565,迪马股份,6727066966.8,092505,2,房地产开
601952,苏垦农发,23798060000.0,145429,2,农牧饲渔
603858,步长制药,26233522417.8,092504,2,中药
002377,国创高新,3059427495.04,094854,2,房地产服
