代码,名称,流通市值,最后封板时间,连板数,所属行业
000926,福星股份,6691948556.150001,092500,6,房地产开
002431,棕榈股份,6824992674.24,095248,6,工程建设
002883,中设股份,1533555591.1200001,130939,5,工程咨询
002715,登云股份,2049300000.0,092500,4,汽车零部
002766,索菱股份,4436468727.4,092500,4,互联网服
000548,湖南投资,3174840837.96,092500,3,铁路公路
000042,中洲控股,6818969476.28,094018,3,房地产开
000632,三木集团,2858057060.8399997,143427,3,综合行业
001319,铭科精技,916979000.0,092500,3,汽车零部
603097,江苏华辰,594400000.0,092505,3,电网设备
600720,祁连山,11060318289.75,092502,3,水泥建材
600698,湖南天雁,3813263933.93,135848,3,汽车零部
002141,贤丰控股,5514430682.34,132927,2,电子元件
000517,荣安地产,10237627495.599998,104421,2,房地产开
002496,辉丰股份,3487659717.06,094657,2,农药兽药
002292,奥飞娱乐,4437599712.0,132521,2,文化传媒
601599,浙文影业,3517336358.16,141750,2,文化传媒
600084,中葡股份,7248038053.5,145354,2,酿酒行业
000953,河化股份,2453797943.35,095424,2,化学制药
600313,农发种业,11590545106.59,094157,2,农牧饲渔
000010,美丽生态,1999916837.3400002,100327,2,工程建设
002243,力合科创,6183407318.2,093015,2,美容护理
002016,世荣兆业,4814787880.32,130009,2,房地产开
600479,千金药业,4775166204.97,093139,2,中药
000957,中通客车,3112745664.0,105236,2,汽车整车
603963,大理药业,3565731000.0,093012,2,中药
601975,招商南油,14509823705.52,104337,2,航运港口
600812,华北制药,13258442446.77,092505,2,化学制药
600565,迪马股份,6727066966.8,092505,2,房地产开
601952,苏垦农发,23798060000.0,145429,2,农牧饲渔
603858,步长制药,26233522417.8,092504,2,中药
002377,国创高新,3059427495.04,094854,2,房地产服
600778,友好集团,1920195821.94,103430,1,商业百货
002612,朗姿股份,6734291433.21,130006,1,纺织服装
600185,格力地产,11088169004.460001,130002,1,房地产开
000665,湖北广电,10379340902.14,143545,1,文化传媒
000529,广弘控股,3744140356.8900003,103554,1,食品饮料
300561,汇金科技,1887566684.4,112906,1,软件开发
300781,因赛集团,696873886.8000001,112118,1,文化传媒
600508,上海能源,12011573160.0,140545,1,煤炭行业
600613,神奇制药,3034095460.7400002,110157,1,化学制药
600791,京能置业,2216337110.4,112940,1,房地产开
000553,安道麦A,25580542666.75,141118,1,农药兽药
002163,海南发展,11032741500.0,130309,1,玻璃玻纤
600770,综艺股份,13039000000.0,141326,1,综合行业
000993,闽东电力,6473084259.84,145451,1,电力行业
600228,返利科技,1875056400.0,144857,1,互联网服
600212,江泉实业,2742697061.6800003,143803,1,电力行业
002561,徐家汇,6365673019.679999,142939,1,商业百货
600628,新世界,6248816209.440001,142559,1,商业百货
603028,赛福天,2502988800.0,135456,1,通用设备
601579,会稽山,10046672000.0,134654,1,酿酒行业
000532,华金资本,3930209094.24,142600,1,综合行业
600731,湖南海利,3443892284.79,133950,1,农药兽药
603032,德新交运,11562178080.0,132715,1,铁路公路
000615,奥园美谷,6548936889.6,131330,1,美容护理
000718,苏宁环球,8861348839.14,131006,1,房地产开
603895,天永智能,2422072800.0,130708,1,专用设备
002654,万润科技,2774346709.2,141815,1,文化传媒
600159,大龙地产,2763910762.56,131929,1,房地产开
000659,珠海中富,4461387744.400001,094833,1,包装材料
002346,柘中股份,5260455317.31,102603,1,电网设备
600638,新黄浦,4141390233.9,093341,1,房地产开
000707,双环科技,5968914537.9,093621,1,化学原料
603326,我乐家居,2543032200.8,093548,1,装修建材
002492,恒基达鑫,2368883864.9,102627,1,物流行业
603897,长城科技,4896654353.32,093645,1,电网设备
000722,湖南发展,11854602522.279999,142206,1,电力行业
301166,优宁维,1358026601.4,102518,1,专业服务
000507,珠海港,5486213538.24,100500,1,航运港口
603085,天成自控,2721156939.9,103507,1,汽车零部
002775,文科园林,2061036414.3600001,093142,1,工程建设
603516,淳中科技,2294449237.08,093015,1,计算机设
002560,通达股份,2503344975.12,093000,1,电网设备
603311,金海高科,2169300000.0,092505,1,家电行业
603998,方盛制药,3255077277.6,094000,1,中药
000609,中迪投资,1431236207.8000002,092500,1,房地产开
603378,亚士创能,3857059248.3,093724,1,装修建材
000019,深粮控股,3516761830.3999996,093845,1,贸易行业
600749,西藏旅游,2764439997.06,142751,1,旅游酒店
003010,若羽臣,1486947645.12,102106,1,互联网服
000790,华神科技,3131111665.12,145112,1,中药
600395,盘江股份,14498254302.359999,101903,1,煤炭行业
000753,漳州发展,3817202123.35,101600,1,汽车服务
600543,莫高股份,1984521600.0,101300,1,酿酒行业
600793,宜宾纸业,2253756985.48,101047,1,造纸印刷
002999,天禾股份,1607080090.0,141812,1,化肥行业
002041,登海种业,20785600000.0,142109,1,农牧饲渔
002885,京泉华,2089024412.86,095718,1,消费电子
002420,毅昌科技,2248795232.64,094921,1,家电行业
601858,中国科传,6466290000.0,141540,1,文化传媒
001313,粤海饲料,1361000000.0,094421,1,农牧饲渔
600354,敦煌种业,3330431124.7999997,110840,1,农牧饲渔
002593,日上集团,1999371043.32,142945,1,汽车零部
000713,丰乐种业,5980505905.2,093936,1,农牧饲渔
603225,新凤鸣,15932921804.46,145542,1,化纤行业
