代码,名称,涨跌幅,流通市值,首次封板时间,所属行业
002285,世联行,5.604719638824463,7211704815.88,092500,房地产服
603390,通达电气,3.076923131942749,1205577481.92,092504,汽车零部
002686,亿利达,-2.8449501991271973,2675497042.37,093006,通用设备
000078,海王生物,4.545454502105713,10248890213.130001,093103,医药商业
002824,和胜股份,3.513909101486206,3684801083.04,093112,有色金属
603178,圣龙股份,1.3686131238937378,2232698930.0,093142,汽车零部
603915,国茂股份,5.2083330154418945,2560499480.0,093145,通用设备
603008,喜临门,4.805491924285889,10646240786.76,093227,装修建材
000797,中国武夷,2.8947367668151855,6138200040.030001,093257,房地产开
600149,廊坊发展,2.504817008972168,2022451200.0,093333,贸易行业
000779,甘咨询,3.846153974533081,2168979302.25,093600,工程咨询
603228,景旺电子,4.2501220703125,17965549653.7,094106,电子元件
000822,山东海化,6.105834484100342,6999618861.320001,094233,化学原料
600200,江苏吴中,-0.11428571492433548,6197401431.68,094346,化学制药
600318,新力金融,5.790960311889648,3832302309.01,095136,多元金融
002510,天汽模,0.8021389842033386,3511139521.11,095354,汽车零部
600689,上海三毛,3.3994336128234863,1666635365.85,095544,纺织服装
002166,莱茵生物,4.550379276275635,4439024269.75,101406,中药
002033,丽江股份,5.111821174621582,3615579590.98,102345,旅游酒店
603058,永吉股份,7.726596832275391,3038289400.0,111501,造纸印刷
000897,津滨发展,7.063197135925293,4657664545.92,131645,房地产开
603025,大豪科技,8.706986427307129,19221421324.350002,141811,专用设备
